Wall time,Step,Value
1734365607.6215398,0,3.3601834774017334
1734365630.705247,1000,0.255422979593277
1734365643.102539,2000,0.20790083706378937
1734365655.4110487,3000,0.20628297328948975
1734365668.1653693,4000,0.2160561978816986
1734365680.422791,5000,0.19912950694561005
1734365692.708489,6000,0.1791258156299591
1734365705.4772234,7000,0.18145522475242615
1734365717.7769482,8000,0.1816270649433136
1734365730.0089173,9000,0.20798873901367188
1734365742.7555478,10000,0.1918974667787552
1734365755.0393634,11000,0.21261225640773773
1734365767.434735,12000,0.20332516729831696
1734365779.6902626,13000,0.19388240575790405
1734365792.5041027,14000,0.17063432931900024
1734365804.7437236,15000,0.16386619210243225
1734365817.0802662,16000,0.16207343339920044
1734365829.8826873,17000,0.26911988854408264
1734365842.1517446,18000,0.1668035089969635
1734365854.4295316,19000,0.15747998654842377
1734365866.7439072,20000,0.1355784386396408
1734365879.6257703,21000,0.1310509443283081
1734365892.001848,22000,0.10173466056585312
1734365904.2901983,23000,0.2492654025554657
1734365929.423888,25000,0.17632657289505005
1734365941.8036861,26000,0.09531687945127487
1734365954.0471377,27000,0.11809276789426804
1734365966.9239907,28000,0.09257164597511292
1734365979.1580315,29000,0.08896265178918839
1734365991.5085344,30000,0.08504234999418259
1734366004.2873268,31000,0.08204162120819092
1734366016.6328008,32000,0.08116969466209412
1734366028.8941514,33000,0.41110461950302124
1734366041.5372062,34000,0.19664205610752106
1734366054.4557276,35000,0.13345512747764587
1734366066.8564937,36000,0.11374493688344955
1734366079.1320007,37000,0.5909292697906494
1734366091.9831197,38000,0.1434832066297531
1734366104.2391794,39000,0.10892542451620102
1734366116.6011724,40000,0.2698483467102051
1734366129.3692737,41000,0.10693041980266571
1734366141.877729,42000,0.11344090104103088
1734366154.100086,43000,0.436127632856369
1734366166.4141996,44000,0.14238306879997253
1734366179.3586836,45000,0.14730799198150635
1734366191.6721513,46000,0.2161407619714737
1734366203.9242396,47000,0.10495543479919434
1734366216.3348744,48000,0.07301760464906693
1734366229.1420112,49000,0.11043199896812439
1734366241.5179808,50000,0.08261778950691223
1734366253.733678,51000,0.08618166297674179
1734366267.0070937,52000,0.0820421576499939
1734366279.2591622,53000,0.07853278517723083
1734366291.6570947,54000,0.08916497975587845
1734366304.4201987,55000,0.05840359255671501
1734366316.7519276,56000,0.04839865863323212
1734366329.0321095,57000,0.06814402341842651
1734366341.3767757,58000,0.057624608278274536
1734366354.284698,59000,0.05136963352560997
1734366366.600569,60000,0.04867582768201828
1734366378.8489752,61000,0.04671186953783035
1734366391.6502705,62000,0.04617256671190262
1734366403.9591513,63000,0.0457480289041996
1734366416.3199158,64000,0.04540693014860153
1734366429.0847752,65000,0.04531049728393555
1734366441.441042,66000,0.1658545434474945
1734366453.7137833,67000,0.16315722465515137
1734366466.1116228,68000,0.10000880062580109
1734366479.072539,69000,0.07815558463335037
1734366491.4753816,70000,0.08007979393005371
1734366503.568192,71000,0.0668114647269249
1734366516.2916863,72000,0.09480550140142441
1734366528.55752,73000,0.11681780964136124
1734366540.8884542,74000,0.12827914953231812
1734366553.1684003,75000,0.07203841209411621
1734366566.0703712,76000,0.10623413324356079
