Wall time,Step,Value
1734357343.785163,0,7.450432777404785
1734357367.5578184,1000,1.3690102100372314
1734357380.1680696,2000,0.9156341552734375
1734357392.7979255,3000,0.7126510143280029
1734357405.4015627,4000,0.6201167106628418
1734357418.3739226,5000,0.5630198121070862
1734357430.8585494,6000,0.4152347445487976
1734357443.4361115,7000,0.37252077460289
1734357456.4189758,8000,0.3125246465206146
1734357468.9940681,9000,0.44292137026786804
1734357481.59871,10000,0.43484920263290405
1734357494.6516316,11000,0.306724488735199
1734357507.1704736,12000,0.32974961400032043
1734357519.7234242,13000,0.3019372522830963
1734357532.2557914,14000,0.3627404272556305
1734357545.402592,15000,0.3769204914569855
1734357557.8722954,16000,0.34932395815849304
1734357570.4074976,17000,0.424790620803833
1734357583.347287,18000,0.28033748269081116
1734357595.898241,19000,0.3373699188232422
1734357608.4640162,20000,0.22658775746822357
1734357621.3069715,21000,0.23050180077552795
1734357634.3887382,22000,0.29944202303886414
1734357647.0148985,23000,0.3237259089946747
1734357672.6665685,25000,0.24661897122859955
1734357685.3066955,26000,0.1727064847946167
1734357697.865244,27000,0.26473358273506165
1734357710.3927028,28000,0.212213397026062
1734357723.5383801,29000,0.16962018609046936
1734357736.088246,30000,0.18979883193969727
1734357748.745766,31000,0.15967364609241486
1734357761.7330785,32000,0.15913358330726624
1734357774.3117354,33000,0.3526691794395447
1734357786.9145994,34000,0.2728408873081207
1734357799.733151,35000,0.22230714559555054
1734357812.8389077,36000,0.17762330174446106
1734357825.4820464,37000,0.21896013617515564
1734357838.0326571,38000,0.18539202213287354
1734357851.031227,39000,0.1613667905330658
1734357863.601206,40000,0.14920057356357574
1734357876.165827,41000,0.18684105575084686
1734357888.8142238,42000,0.11171725392341614
1734357901.8963335,43000,0.09080667048692703
1734357914.4482527,44000,0.10420162975788116
1734357927.0275233,45000,0.0755346417427063
1734357939.9652946,46000,0.07807887345552444
1734357952.5763333,47000,0.07544752955436707
1734357965.1494057,48000,0.0700511485338211
1734357977.7430174,49000,0.04166588559746742
1734357990.8332658,50000,0.057310815900564194
1734358003.4356403,51000,0.05460459738969803
1734358015.9713867,52000,0.05241689085960388
1734358029.0507798,53000,0.057621315121650696
1734358041.550135,54000,0.0499507300555706
1734358054.0822296,55000,0.054106179624795914
1734358066.632461,56000,0.044195160269737244
1734358079.7973628,57000,0.04382889345288277
1734358092.3199031,58000,0.02795282006263733
1734358104.8787618,59000,0.04415825754404068
1734358117.9251196,60000,0.05294439569115639
1734358130.55314,61000,0.043013159185647964
1734358143.0406044,62000,0.021158503368496895
1734358155.6356537,63000,0.0229859109967947
1734358168.690751,64000,0.04112594947218895
1734358181.240459,65000,0.05262758582830429
1734358193.8838274,66000,0.23217974603176117
1734358206.9149354,67000,0.18228676915168762
1734358219.445824,68000,0.06439617276191711
1734358232.0157568,69000,0.07219071686267853
1734358244.7085466,70000,0.047076717019081116
1734358257.8764656,71000,0.06203338876366615
1734358270.3941033,72000,0.06848803162574768
