Wall time,Step,Value
1734365607.6162639,0,1.0934633016586304
1734365630.6979651,1000,0.488035649061203
1734365643.0922,2000,0.4007541835308075
1734365655.403898,3000,0.4008815586566925
1734365668.154972,4000,0.3816585838794708
1734365680.4159284,5000,0.3306563198566437
1734365692.6980805,6000,0.31514859199523926
1734365705.47037,7000,0.3121797442436218
1734365717.7665246,8000,0.31079989671707153
1734365729.9984963,9000,0.31425347924232483
1734365742.7451396,10000,0.307541161775589
1734365755.0340884,11000,0.2939397394657135
1734365767.4275053,12000,0.2788182199001312
1734365779.6851141,13000,0.26764652132987976
1734365792.4936855,14000,0.25463157892227173
1734365804.7365289,15000,0.24182182550430298
1734365817.0698514,16000,0.2365453690290451
1734365829.875339,17000,0.37469109892845154
1734365842.1413426,18000,0.3138279914855957
1734365854.4242787,19000,0.2958413362503052
1734365866.736289,20000,0.26694783568382263
1734365879.620449,21000,0.23939840495586395
1734365891.9914296,22000,0.20969589054584503
1734365904.282751,23000,0.21063098311424255
1734365929.4165375,25000,0.1660579890012741
1734365941.7959266,26000,0.15143954753875732
1734365954.0418942,27000,0.1448853313922882
1734365966.9165459,28000,0.13878847658634186
1734365979.1506355,29000,0.1349959820508957
1734365991.4981148,30000,0.1326526254415512
1734366004.2799964,31000,0.13128744065761566
1734366016.6223972,32000,0.1306239515542984
1734366028.8879938,33000,0.37963053584098816
1734366041.5276885,34000,0.28472593426704407
1734366054.4452944,35000,0.26593780517578125
1734366066.84572,36000,0.2483484148979187
1734366079.1215906,37000,0.189887136220932
1734366091.972718,38000,0.1577029675245285
1734366104.2328167,39000,0.14045391976833344
1734366116.5907664,40000,0.14293956756591797
1734366129.3626328,41000,0.12308669835329056
1734366141.8673015,42000,0.11727412790060043
1734366154.089685,43000,0.12777672708034515
1734366166.4037843,44000,0.10934729874134064
1734366179.3534002,45000,0.10736606270074844
1734366191.661735,46000,0.10765418410301208
1734366203.9189746,47000,0.12136068195104599
1734366216.328346,48000,0.09774225950241089
1734366229.131601,49000,0.09078187495470047
1734366241.5114589,50000,0.08899202942848206
1734366253.72324,51000,0.08535151928663254
1734366267.0018275,52000,0.08396327495574951
1734366279.253148,53000,0.08176912367343903
1734366291.6454382,54000,0.0816519632935524
1734366304.4148679,55000,0.07927922159433365
1734366316.741521,56000,0.0804029181599617
1734366329.0264015,57000,0.07763785868883133
1734366341.3663888,58000,0.07662931829690933
1734366354.2742956,59000,0.07504984736442566
1734366366.590165,60000,0.07467176765203476
1734366378.8385646,61000,0.07372488081455231
1734366391.6398642,62000,0.07322828471660614
1734366403.9487343,63000,0.07307770103216171
1734366416.3094637,64000,0.07310814410448074
1734366429.0795262,65000,0.07307756692171097
1734366441.433249,66000,0.32753318548202515
1734366453.7033827,67000,0.246713325381279
1734366466.1115494,68000,0.1554597169160843
1734366479.0657508,69000,0.11981615424156189
1734366491.4649878,70000,0.10943207144737244
1734366503.5629494,71000,0.0950796976685524
1734366516.286361,72000,0.08793386071920395
1734366528.5471296,73000,0.08282244205474854
1734366540.8780382,74000,0.08771858364343643
1734366553.1623724,75000,0.07412251085042953
1734366566.0599647,76000,0.07115904241800308
1734366578.329778,77000,0.06784413754940033
1734366590.65236,78000,0.062210481613874435
